ID_Sumber,Kode_Sumber,Deskripsi_Sumber,Tipe_Pendanaan
228,KDS0228,Dana Hibah,Eksternal
229,KDS0229,Dana Donasi,Internal
230,KDS0230,Biaya Operasional Rutin,Internal
231,KDS0231,Dana Donasi,Eksternal
232,KDS0232,Biaya Operasional Rutin,Internal
233,KDS0233,Dana Donasi,Eksternal
234,KDS0234,Dana Sponsor,Eksternal
235,KDS0235,Pendanaan Khusus,Eksternal
236,KDS0236,Dana Sponsor,Internal
237,KDS0237,Pendanaan Khusus,Eksternal
238,KDS0238,Dana Donasi,Internal
239,KDS0239,Pendanaan Khusus,Eksternal
240,KDS0240,Dana Hibah,Internal
241,KDS0241,Pendanaan Khusus,Eksternal
242,KDS0242,Biaya Operasional Rutin,Eksternal
243,KDS0243,Biaya Operasional Rutin,Internal
244,KDS0244,Pendanaan Khusus,Internal
245,KDS0245,Dana Sponsor,Eksternal
246,KDS0246,Dana Donasi,Internal
247,KDS0247,Dana Donasi,Internal
248,KDS0248,Pendanaan Khusus,Eksternal
249,KDS0249,Pendanaan Khusus,Internal
250,KDS0250,Dana Donasi,Eksternal
