ID_Waktu,Tanggal,Tahun,Kuartal,Bulan,Hari_Kerja_Flag
55,17-10-2021,2021,Q4,October,Tidak
56,22-10-2021,2021,Q4,October,Ya
57,24-10-2021,2021,Q4,October,Tidak
58,02-11-2021,2021,Q4,November,Ya
59,03-11-2021,2021,Q4,November,Ya
60,11-11-2021,2021,Q4,November,Ya
61,14-11-2021,2021,Q4,November,Tidak
62,16-11-2021,2021,Q4,November,Ya
63,22-11-2021,2021,Q4,November,Ya
64,29-11-2021,2021,Q4,November,Ya
65,30-11-2021,2021,Q4,November,Ya
66,01-12-2021,2021,Q4,December,Ya
67,02-12-2021,2021,Q4,December,Ya
68,09-12-2021,2021,Q4,December,Ya
69,23-12-2021,2021,Q4,December,Ya
70,26-12-2021,2021,Q4,December,Tidak
71,05-01-2022,2022,Q1,January,Ya
72,14-01-2022,2022,Q1,January,Ya
73,30-01-2022,2022,Q1,January,Tidak
74,11-02-2022,2022,Q1,February,Ya
75,13-02-2022,2022,Q1,February,Tidak
76,22-02-2022,2022,Q1,February,Ya
77,25-02-2022,2022,Q1,February,Ya
78,01-03-2022,2022,Q1,March,Ya
79,02-03-2022,2022,Q1,March,Ya
80,07-03-2022,2022,Q1,March,Ya
81,13-03-2022,2022,Q1,March,Tidak
82,17-03-2022,2022,Q1,March,Ya
83,18-03-2022,2022,Q1,March,Ya
84,21-03-2022,2022,Q1,March,Ya
85,26-03-2022,2022,Q1,March,Tidak
86,06-04-2022,2022,Q2,April,Ya
87,11-04-2022,2022,Q2,April,Ya
88,21-04-2022,2022,Q2,April,Ya
89,23-04-2022,2022,Q2,April,Tidak
90,08-05-2022,2022,Q2,May,Tidak
91,17-05-2022,2022,Q2,May,Ya
92,28-05-2022,2022,Q2,May,Tidak
93,01-06-2022,2022,Q2,June,Ya
94,04-06-2022,2022,Q2,June,Tidak
95,19-06-2022,2022,Q2,June,Tidak
96,29-06-2022,2022,Q2,June,Ya
97,07-07-2022,2022,Q3,July,Ya
98,16-07-2022,2022,Q3,July,Tidak
99,17-07-2022,2022,Q3,July,Tidak
100,29-07-2022,2022,Q3,July,Ya
101,09-08-2022,2022,Q3,August,Ya
102,28-08-2022,2022,Q3,August,Tidak
103,30-08-2022,2022,Q3,August,Ya
104,01-09-2022,2022,Q3,September,Ya
105,03-09-2022,2022,Q3,September,Tidak
106,13-09-2022,2022,Q3,September,Ya
107,19-09-2022,2022,Q3,September,Ya
108,20-09-2022,2022,Q3,September,Ya
109,29-09-2022,2022,Q3,September,Ya
110,16-10-2022,2022,Q4,October,Tidak
111,18-10-2022,2022,Q4,October,Ya
112,30-10-2022,2022,Q4,October,Tidak
113,01-11-2022,2022,Q4,November,Ya
114,04-11-2022,2022,Q4,November,Ya
115,07-11-2022,2022,Q4,November,Ya
116,10-11-2022,2022,Q4,November,Ya
117,15-11-2022,2022,Q4,November,Ya
118,21-11-2022,2022,Q4,November,Ya
119,23-11-2022,2022,Q4,November,Ya
120,24-11-2022,2022,Q4,November,Ya
121,13-12-2022,2022,Q4,December,Ya
122,16-12-2022,2022,Q4,December,Ya
123,18-12-2022,2022,Q4,December,Tidak
124,30-12-2022,2022,Q4,December,Ya
125,04-01-2023,2023,Q1,January,Ya
126,08-01-2023,2023,Q1,January,Tidak
127,16-01-2023,2023,Q1,January,Ya
128,21-01-2023,2023,Q1,January,Tidak
129,29-01-2023,2023,Q1,January,Tidak
130,06-02-2023,2023,Q1,February,Ya
131,08-02-2023,2023,Q1,February,Ya
132,09-02-2023,2023,Q1,February,Ya
133,13-02-2023,2023,Q1,February,Ya
134,14-02-2023,2023,Q1,February,Ya
135,01-03-2023,2023,Q1,March,Ya
136,05-03-2023,2023,Q1,March,Tidak
137,08-03-2023,2023,Q1,March,Ya
138,15-03-2023,2023,Q1,March,Ya
139,16-03-2023,2023,Q1,March,Ya
140,26-03-2023,2023,Q1,March,Tidak
141,03-04-2023,2023,Q2,April,Ya
142,15-04-2023,2023,Q2,April,Tidak
143,25-04-2023,2023,Q2,April,Ya
144,12-05-2023,2023,Q2,May,Ya
145,23-05-2023,2023,Q2,May,Ya
146,24-05-2023,2023,Q2,May,Ya
147,25-05-2023,2023,Q2,May,Ya
148,04-06-2023,2023,Q2,June,Tidak
149,11-06-2023,2023,Q2,June,Tidak
150,14-06-2023,2023,Q2,June,Ya
151,20-06-2023,2023,Q2,June,Ya
152,10-07-2023,2023,Q3,July,Ya
153,11-07-2023,2023,Q3,July,Ya
154,20-07-2023,2023,Q3,July,Ya
155,25-07-2023,2023,Q3,July,Ya
156,28-07-2023,2023,Q3,July,Ya
157,31-07-2023,2023,Q3,July,Ya
158,09-08-2023,2023,Q3,August,Ya
159,13-08-2023,2023,Q3,August,Tidak
160,17-08-2023,2023,Q3,August,Ya
161,19-08-2023,2023,Q3,August,Tidak
162,26-08-2023,2023,Q3,August,Tidak
163,28-08-2023,2023,Q3,August,Ya
164,04-09-2023,2023,Q3,September,Ya
165,06-09-2023,2023,Q3,September,Ya
166,16-09-2023,2023,Q3,September,Tidak
167,26-09-2023,2023,Q3,September,Ya
168,30-09-2023,2023,Q3,September,Tidak
169,12-10-2023,2023,Q4,October,Ya
170,18-10-2023,2023,Q4,October,Ya
171,22-10-2023,2023,Q4,October,Tidak
172,25-10-2023,2023,Q4,October,Ya
173,31-10-2023,2023,Q4,October,Ya
174,05-11-2023,2023,Q4,November,Tidak
175,12-11-2023,2023,Q4,November,Tidak
176,22-11-2023,2023,Q4,November,Ya
177,25-11-2023,2023,Q4,November,Tidak
178,06-12-2023,2023,Q4,December,Ya
179,09-12-2023,2023,Q4,December,Tidak
180,12-12-2023,2023,Q4,December,Ya
181,20-12-2023,2023,Q4,December,Ya
182,21-12-2023,2023,Q4,December,Ya
183,02-01-2024,2024,Q1,January,Ya
184,16-01-2024,2024,Q1,January,Ya
185,02-02-2024,2024,Q1,February,Ya
186,07-02-2024,2024,Q1,February,Ya
187,08-02-2024,2024,Q1,February,Ya
188,11-02-2024,2024,Q1,February,Tidak
189,23-02-2024,2024,Q1,February,Ya
190,04-03-2024,2024,Q1,March,Ya
191,11-03-2024,2024,Q1,March,Ya
192,12-03-2024,2024,Q1,March,Ya
193,13-03-2024,2024,Q1,March,Ya
194,18-03-2024,2024,Q1,March,Ya
195,20-03-2024,2024,Q1,March,Ya
196,22-03-2024,2024,Q1,March,Ya
197,24-03-2024,2024,Q1,March,Tidak
198,03-04-2024,2024,Q2,April,Ya
199,04-04-2024,2024,Q2,April,Ya
200,10-04-2024,2024,Q2,April,Ya
201,12-04-2024,2024,Q2,April,Ya
202,15-04-2024,2024,Q2,April,Ya
203,17-04-2024,2024,Q2,April,Ya
204,18-04-2024,2024,Q2,April,Ya
205,24-04-2024,2024,Q2,April,Ya
206,02-05-2024,2024,Q2,May,Ya
207,05-05-2024,2024,Q2,May,Tidak
208,23-05-2024,2024,Q2,May,Ya
209,26-05-2024,2024,Q2,May,Tidak
210,27-05-2024,2024,Q2,May,Ya
211,01-06-2024,2024,Q2,June,Tidak
212,05-06-2024,2024,Q2,June,Ya
213,08-06-2024,2024,Q2,June,Tidak
214,10-06-2024,2024,Q2,June,Ya
215,24-06-2024,2024,Q2,June,Ya
216,02-07-2024,2024,Q3,July,Ya
217,06-07-2024,2024,Q3,July,Tidak
218,07-07-2024,2024,Q3,July,Tidak
219,10-07-2024,2024,Q3,July,Ya
220,13-07-2024,2024,Q3,July,Tidak
221,29-07-2024,2024,Q3,July,Ya
222,31-07-2024,2024,Q3,July,Ya
223,09-08-2024,2024,Q3,August,Ya
224,14-08-2024,2024,Q3,August,Ya
225,19-08-2024,2024,Q3,August,Ya
226,20-08-2024,2024,Q3,August,Ya
227,22-08-2024,2024,Q3,August,Ya
228,24-08-2024,2024,Q3,August,Tidak
229,26-08-2024,2024,Q3,August,Ya
230,27-08-2024,2024,Q3,August,Ya
231,28-08-2024,2024,Q3,August,Ya
232,30-08-2024,2024,Q3,August,Ya
233,31-08-2024,2024,Q3,August,Tidak
234,02-09-2024,2024,Q3,September,Ya
235,13-09-2024,2024,Q3,September,Ya
236,20-09-2024,2024,Q3,September,Ya
237,30-09-2024,2024,Q3,September,Ya
238,08-10-2024,2024,Q4,October,Ya
239,10-10-2024,2024,Q4,October,Ya
240,11-10-2024,2024,Q4,October,Ya
241,22-10-2024,2024,Q4,October,Ya
242,24-10-2024,2024,Q4,October,Ya
243,26-10-2024,2024,Q4,October,Tidak
244,08-11-2024,2024,Q4,November,Ya
245,14-11-2024,2024,Q4,November,Ya
246,17-11-2024,2024,Q4,November,Tidak
247,20-11-2024,2024,Q4,November,Ya
248,28-11-2024,2024,Q4,November,Ya
249,18-12-2024,2024,Q4,December,Ya
250,24-12-2024,2024,Q4,December,Ya
