ID_Fakta_Trans,ID_Waktu,ID_Akun,ID_Unit,ID_Vendor,ID_Sumber,ID_Transaksi_OT,Nilai_Debit,Nilai_Kredit
109,109,109,109,VN00109,109,TRX00109,0.0,659724523.77
110,110,110,110,VN00110,110,TRX00110,0.0,692654624.66
111,111,111,111,VN00111,111,TRX00111,316787897.12,0.0
112,112,112,112,VN00112,112,TRX00112,354264675.59,0.0
113,113,113,113,VN00113,113,TRX00113,171081829.21,0.0
114,114,114,114,VN00114,114,TRX00114,829112634.5,0.0
115,115,115,115,VN00115,115,TRX00115,338670845.91,0.0
116,116,116,116,VN00116,116,TRX00116,0.0,43940284.33
117,117,117,117,VN00117,117,TRX00117,578551468.11,0.0
118,118,118,118,VN00118,118,TRX00118,521533059.4,0.0
119,119,119,119,VN00119,119,TRX00119,2688064.57,0.0
120,120,120,120,VN00120,120,TRX00120,988345419.28,0.0
121,121,121,121,VN00121,121,TRX00121,0.0,346333481.5
122,122,122,122,VN00122,122,TRX00122,207635861.2,0.0
123,123,123,123,VN00123,123,TRX00123,0.0,548765011.97
124,124,124,124,VN00124,124,TRX00124,0.0,665206659.6
125,125,125,125,VN00125,125,TRX00125,0.0,439071520.66
126,126,126,126,VN00126,126,TRX00126,0.0,705380698.11
127,127,127,127,VN00127,127,TRX00127,0.0,521850078.89
128,128,128,128,VN00128,128,TRX00128,564359042.92,0.0
129,129,129,129,VN00129,129,TRX00129,806968684.14,0.0
130,130,130,130,VN00130,130,TRX00130,0.0,405100914.56
131,131,131,131,VN00131,131,TRX00131,731073035.84,0.0
132,132,132,132,VN00132,132,TRX00132,161069014.43,0.0
133,133,133,133,VN00133,133,TRX00133,600698567.83,0.0
134,134,134,134,VN00134,134,TRX00134,865864458.3,0.0
135,135,135,135,VN00135,135,TRX00135,0.0,901905171.6
136,136,136,136,VN00136,136,TRX00136,79365790.38,0.0
137,137,137,137,VN00137,137,TRX00137,0.0,877745874.33
138,138,138,138,VN00138,138,TRX00138,204542859.55,0.0
139,139,139,139,VN00139,139,TRX00139,0.0,195434620.18
140,140,140,140,VN00140,140,TRX00140,0.0,183734237.22
141,141,141,141,VN00141,141,TRX00141,93326710.37,0.0
142,142,142,142,VN00142,142,TRX00142,296860775.48,0.0
143,143,143,143,VN00143,143,TRX00143,927584240.15,0.0
144,144,144,144,VN00144,144,TRX00144,569003731.43,0.0
145,145,145,145,VN00145,145,TRX00145,457411997.52,0.0
146,146,146,146,VN00146,146,TRX00146,753525990.8,0.0
147,147,147,147,VN00147,147,TRX00147,0.0,273569507.82
148,148,148,148,VN00148,148,TRX00148,0.0,582069038.39
149,149,149,149,VN00149,149,TRX00149,708697395.44,0.0
150,150,150,150,VN00150,150,TRX00150,839243347.81,0.0
151,151,151,151,VN00151,151,TRX00151,0.0,884567719.92
152,152,152,152,VN00152,152,TRX00152,780997938.0,0.0
153,153,153,153,VN00153,153,TRX00153,286536616.73,0.0
154,154,154,154,VN00154,154,TRX00154,306469753.33,0.0
155,155,155,155,VN00155,155,TRX00155,665261465.35,0.0
156,156,156,156,VN00156,156,TRX00156,111392171.61,0.0
157,157,157,157,VN00157,157,TRX00157,0.0,414964104.81
158,158,158,158,VN00158,158,TRX00158,0.0,594602556.31
159,159,159,159,VN00159,159,TRX00159,696311268.24,0.0
160,160,160,160,VN00160,160,TRX00160,0.0,957164209.03
161,161,161,161,VN00161,161,TRX00161,0.0,899715484.19
162,162,162,162,VN00162,162,TRX00162,765096095.24,0.0
163,163,163,163,VN00163,163,TRX00163,565642001.23,0.0
164,164,164,164,VN00164,164,TRX00164,0.0,749093633.02
165,165,165,165,VN00165,165,TRX00165,582671087.86,0.0
166,166,166,166,VN00166,166,TRX00166,0.0,509320578.12
167,167,167,167,VN00167,167,TRX00167,337066383.45,0.0
168,168,168,168,VN00168,168,TRX00168,927576579.58,0.0
169,169,169,169,VN00169,169,TRX00169,750717000.34,0.0
170,170,170,170,VN00170,170,TRX00170,0.0,499216762.47
171,171,171,171,VN00171,171,TRX00171,751643988.79,0.0
172,172,172,172,VN00172,172,TRX00172,0.0,904666044.75
173,173,173,173,VN00173,173,TRX00173,0.0,761315797.68
174,174,174,174,VN00174,174,TRX00174,821504113.2,0.0
175,175,175,175,VN00175,175,TRX00175,909871659.61,0.0
176,176,176,176,VN00176,176,TRX00176,128631197.51,0.0
177,177,177,177,VN00177,177,TRX00177,81780087.09,0.0
178,178,178,178,VN00178,178,TRX00178,0.0,17533327.58
179,179,179,179,VN00179,179,TRX00179,0.0,96683413.7
180,180,180,180,VN00180,180,TRX00180,0.0,612760929.96
181,181,181,181,VN00181,181,TRX00181,0.0,514068302.07
182,182,182,182,VN00182,182,TRX00182,0.0,241927477.15
183,183,183,183,VN00183,183,TRX00183,201399501.38,0.0
184,184,184,184,VN00184,184,TRX00184,0.0,755833796.11
185,185,185,185,VN00185,185,TRX00185,0.0,714626402.68
186,186,186,186,VN00186,186,TRX00186,0.0,154068170.86
187,187,187,187,VN00187,187,TRX00187,0.0,314970566.62
188,188,188,188,VN00188,188,TRX00188,0.0,991317112.62
189,189,189,189,VN00189,189,TRX00189,0.0,564428828.44
190,190,190,190,VN00190,190,TRX00190,582175459.15,0.0
191,191,191,191,VN00191,191,TRX00191,206095727.45,0.0
192,192,192,192,VN00192,192,TRX00192,717757562.28,0.0
193,193,193,193,VN00193,193,TRX00193,0.0,674762725.79
194,194,194,194,VN00194,194,TRX00194,0.0,205939888.15
195,195,195,195,VN00195,195,TRX00195,29319722.89,0.0
196,196,196,196,VN00196,196,TRX00196,635900359.35,0.0
197,197,197,197,VN00197,197,TRX00197,32197934.94,0.0
198,198,198,198,VN00198,198,TRX00198,744780655.14,0.0
199,199,199,199,VN00199,199,TRX00199,0.0,321297523.93
200,200,200,200,VN00200,200,TRX00200,0.0,724664840.46
201,201,201,201,VN00201,201,TRX00201,542635925.79,0.0
202,202,202,202,VN00202,202,TRX00202,0.0,543939841.52
203,203,203,203,VN00203,203,TRX00203,0.0,956489212.09
204,204,204,204,VN00204,204,TRX00204,996086327.37,0.0
205,205,205,205,VN00205,205,TRX00205,769397337.07,0.0
206,206,206,206,VN00206,206,TRX00206,0.0,735034211.26
207,207,207,207,VN00207,207,TRX00207,0.0,298264974.86
208,208,208,208,VN00208,208,TRX00208,699834074.77,0.0
209,209,209,209,VN00209,209,TRX00209,0.0,469203922.83
210,210,210,210,VN00210,210,TRX00210,0.0,665882201.6
211,211,211,211,VN00211,211,TRX00211,792299301.84,0.0
212,212,212,212,VN00212,212,TRX00212,518716590.89,0.0
213,213,213,213,VN00213,213,TRX00213,425867694.2,0.0
214,214,214,214,VN00214,214,TRX00214,0.0,976151399.99
215,215,215,215,VN00215,215,TRX00215,411569223.21,0.0
216,216,216,216,VN00216,216,TRX00216,0.0,901929996.15
217,217,217,217,VN00217,217,TRX00217,181628842.67,0.0
218,218,218,218,VN00218,218,TRX00218,0.0,137506090.09
219,219,219,219,VN00219,219,TRX00219,845532996.56,0.0
220,220,220,220,VN00220,220,TRX00220,186903748.93,0.0
221,221,221,221,VN00221,221,TRX00221,0.0,218316625.91
222,222,222,222,VN00222,222,TRX00222,0.0,847001469.8
223,223,223,223,VN00223,223,TRX00223,236599811.71,0.0
224,224,224,224,VN00224,224,TRX00224,0.0,870647366.46
225,225,225,225,VN00225,225,TRX00225,918397467.81,0.0
226,226,226,226,VN00226,226,TRX00226,0.0,214460448.65
227,227,227,227,VN00227,227,TRX00227,463652724.89,0.0
228,228,228,228,VN00228,228,TRX00228,0.0,274530739.68
229,229,229,229,VN00229,229,TRX00229,313668950.05,0.0
230,230,230,230,VN00230,230,TRX00230,47339537.24,0.0
231,231,231,231,VN00231,231,TRX00231,241685637.25,0.0
232,232,232,232,VN00232,232,TRX00232,95529641.56,0.0
233,233,233,233,VN00233,233,TRX00233,238249905.71,0.0
234,234,234,234,VN00234,234,TRX00234,0.0,562872016.14
235,235,235,235,VN00235,235,TRX00235,894978287.89,0.0
236,236,236,236,VN00236,236,TRX00236,43222892.08,0.0
237,237,237,237,VN00237,237,TRX00237,301946836.26,0.0
238,238,238,238,VN00238,238,TRX00238,0.0,730093864.65
239,239,239,239,VN00239,239,TRX00239,0.0,281235043.46
240,240,240,240,VN00240,240,TRX00240,0.0,284084498.96
241,241,241,241,VN00241,241,TRX00241,5545408.41,0.0
242,242,242,242,VN00242,242,TRX00242,0.0,323557135.45
243,243,243,243,VN00243,243,TRX00243,988328534.62,0.0
244,244,244,244,VN00244,244,TRX00244,375185527.48,0.0
245,245,245,245,VN00245,245,TRX00245,97038158.64,0.0
246,246,246,246,VN00246,246,TRX00246,461908761.57,0.0
247,247,247,247,VN00247,247,TRX00247,0.0,556488745.29
248,248,248,248,VN00248,248,TRX00248,0.0,200952725.46
249,249,249,249,VN00249,249,TRX00249,0.0,575894574.05
250,250,250,250,VN00250,250,TRX00250,798846331.21,0.0
251,1,1,1,VN00001,1,TRX00251,0.0,259041175.0
252,2,2,2,VN00002,2,TRX00252,443367701.8,0.0
253,3,3,3,VN00003,3,TRX00253,715601275.15,0.0
254,4,4,4,VN00004,4,TRX00254,0.0,401775659.76
255,5,5,5,VN00005,5,TRX00255,0.0,892385131.92
256,6,6,6,VN00006,6,TRX00256,967494306.81,0.0
257,7,7,7,VN00007,7,TRX00257,650750366.48,0.0
258,8,8,8,VN00008,8,TRX00258,865459851.52,0.0
259,9,9,9,VN00009,9,TRX00259,0.0,853400373.55
260,10,10,10,VN00010,10,TRX00260,0.0,126946420.03
261,11,11,11,VN00011,11,TRX00261,0.0,43538829.53
262,12,12,12,VN00012,12,TRX00262,0.0,27347691.31
263,13,13,13,VN00013,13,TRX00263,0.0,874040904.88
264,14,14,14,VN00014,14,TRX00264,0.0,73466295.95
265,15,15,15,VN00015,15,TRX00265,0.0,574942952.1
266,16,16,16,VN00016,16,TRX00266,214011914.91,0.0
267,17,17,17,VN00017,17,TRX00267,0.0,699541043.79
268,18,18,18,VN00018,18,TRX00268,232479785.6,0.0
269,19,19,19,VN00019,19,TRX00269,0.0,276199713.39
270,20,20,20,VN00020,20,TRX00270,634442267.9,0.0
271,21,21,21,VN00021,21,TRX00271,0.0,557838081.93
272,22,22,22,VN00022,22,TRX00272,0.0,298734102.43
273,23,23,23,VN00023,23,TRX00273,5942843.72,0.0
274,24,24,24,VN00024,24,TRX00274,365719125.93,0.0
275,25,25,25,VN00025,25,TRX00275,533885981.7,0.0
276,26,26,26,VN00026,26,TRX00276,0.0,289771203.52
277,27,27,27,VN00027,27,TRX00277,0.0,646646547.96
278,28,28,28,VN00028,28,TRX00278,0.0,583097205.23
279,29,29,29,VN00029,29,TRX00279,0.0,156053072.28
280,30,30,30,VN00030,30,TRX00280,26196605.25,0.0
281,31,31,31,VN00031,31,TRX00281,0.0,5972338.55
282,32,32,32,VN00032,32,TRX00282,0.0,768993867.81
283,33,33,33,VN00033,33,TRX00283,0.0,441834068.47
284,34,34,34,VN00034,34,TRX00284,777162461.57,0.0
285,35,35,35,VN00035,35,TRX00285,0.0,391876029.33
286,36,36,36,VN00036,36,TRX00286,0.0,67617368.23
287,37,37,37,VN00037,37,TRX00287,0.0,440354744.05
288,38,38,38,VN00038,38,TRX00288,0.0,853404097.0
289,39,39,39,VN00039,39,TRX00289,710161651.32,0.0
290,40,40,40,VN00040,40,TRX00290,958509743.02,0.0
291,41,41,41,VN00041,41,TRX00291,0.0,491990687.58
292,42,42,42,VN00042,42,TRX00292,0.0,152132198.83
293,43,43,43,VN00043,43,TRX00293,355957667.97,0.0
294,44,44,44,VN00044,44,TRX00294,929763652.9,0.0
295,45,45,45,VN00045,45,TRX00295,148777656.24,0.0
296,46,46,46,VN00046,46,TRX00296,940029014.93,0.0
297,47,47,47,VN00047,47,TRX00297,832716197.28,0.0
298,48,48,48,VN00048,48,TRX00298,846054838.2,0.0
299,49,49,49,VN00049,49,TRX00299,0.0,497513471.45
300,50,50,50,VN00050,50,TRX00300,0.0,662393991.53
301,51,51,51,VN00051,51,TRX00301,16392480.88,0.0
302,52,52,52,VN00052,52,TRX00302,0.0,218518947.3
303,53,53,53,VN00053,53,TRX00303,0.0,747590156.05
304,54,54,54,VN00054,54,TRX00304,0.0,602426646.15
305,55,55,55,VN00055,55,TRX00305,225498410.45,0.0
306,56,56,56,VN00056,56,TRX00306,0.0,581624358.81
307,57,57,57,VN00057,57,TRX00307,0.0,999199170.51
308,58,58,58,VN00058,58,TRX00308,539959935.21,0.0
309,59,59,59,VN00059,59,TRX00309,568103213.82,0.0
310,60,60,60,VN00060,60,TRX00310,0.0,199564720.05
311,61,61,61,VN00061,61,TRX00311,0.0,343960161.43
312,62,62,62,VN00062,62,TRX00312,0.0,731365134.71
313,63,63,63,VN00063,63,TRX00313,298245393.32,0.0
314,64,64,64,VN00064,64,TRX00314,0.0,749155117.73
315,65,65,65,VN00065,65,TRX00315,0.0,769821988.81
316,66,66,66,VN00066,66,TRX00316,932350661.54,0.0
317,67,67,67,VN00067,67,TRX00317,0.0,82425605.86
318,68,68,68,VN00068,68,TRX00318,0.0,660180337.11
319,69,69,69,VN00069,69,TRX00319,556034753.77,0.0
320,70,70,70,VN00070,70,TRX00320,500561420.85,0.0
321,71,71,71,VN00071,71,TRX00321,0.0,810366552.65
322,72,72,72,VN00072,72,TRX00322,0.0,155444863.6
323,73,73,73,VN00073,73,TRX00323,927454998.56,0.0
324,74,74,74,VN00074,74,TRX00324,198365689.03,0.0
325,75,75,75,VN00075,75,TRX00325,52091134.39,0.0
326,76,76,76,VN00076,76,TRX00326,406778893.47,0.0
327,77,77,77,VN00077,77,TRX00327,0.0,627633461.59
328,78,78,78,VN00078,78,TRX00328,0.0,658710810.01
329,79,79,79,VN00079,79,TRX00329,26611115.56,0.0
330,80,80,80,VN00080,80,TRX00330,920149229.76,0.0
331,81,81,81,VN00081,81,TRX00331,680902998.99,0.0
332,82,82,82,VN00082,82,TRX00332,904225994.06,0.0
333,83,83,83,VN00083,83,TRX00333,0.0,562588799.34
334,84,84,84,VN00084,84,TRX00334,811953312.44,0.0
335,85,85,85,VN00085,85,TRX00335,335543873.54,0.0
336,86,86,86,VN00086,86,TRX00336,349566228.03,0.0
337,87,87,87,VN00087,87,TRX00337,0.0,805052125.74
338,88,88,88,VN00088,88,TRX00338,0.0,84903985.75
339,89,89,89,VN00089,89,TRX00339,369291174.43,0.0
340,90,90,90,VN00090,90,TRX00340,0.0,111670961.41
341,91,91,91,VN00091,91,TRX00341,937668356.79,0.0
342,92,92,92,VN00092,92,TRX00342,0.0,635330459.44
343,93,93,93,VN00093,93,TRX00343,348797316.09,0.0
344,94,94,94,VN00094,94,TRX00344,0.0,591115169.13
345,95,95,95,VN00095,95,TRX00345,273842211.65,0.0
346,96,96,96,VN00096,96,TRX00346,0.0,562615381.8
347,97,97,97,VN00097,97,TRX00347,0.0,693940989.63
348,98,98,98,VN00098,98,TRX00348,327099892.62,0.0
349,99,99,99,VN00099,99,TRX00349,882276101.2,0.0
350,100,100,100,VN00100,100,TRX00350,822303814.72,0.0
351,101,101,101,VN00101,101,TRX00351,0.0,329504110.38
352,102,102,102,VN00102,102,TRX00352,0.0,495022329.74
353,103,103,103,VN00103,103,TRX00353,422543353.11,0.0
354,104,104,104,VN00104,104,TRX00354,245033038.56,0.0
355,105,105,105,VN00105,105,TRX00355,0.0,831338643.32
356,106,106,106,VN00106,106,TRX00356,0.0,118283288.87
357,107,107,107,VN00107,107,TRX00357,145263733.97,0.0
358,108,108,108,VN00108,108,TRX00358,0.0,859009233.42
359,109,109,109,VN00109,109,TRX00359,0.0,302925219.18
360,110,110,110,VN00110,110,TRX00360,0.0,927889130.26
361,111,111,111,VN00111,111,TRX00361,564570342.6,0.0
362,112,112,112,VN00112,112,TRX00362,191335720.72,0.0
363,113,113,113,VN00113,113,TRX00363,676905859.65,0.0
364,114,114,114,VN00114,114,TRX00364,215505447.28,0.0
365,115,115,115,VN00115,115,TRX00365,0.0,239750545.59
366,116,116,116,VN00116,116,TRX00366,0.0,113781949.6
367,117,117,117,VN00117,117,TRX00367,0.0,854849342.93
368,118,118,118,VN00118,118,TRX00368,334836412.87,0.0
369,119,119,119,VN00119,119,TRX00369,0.0,194563689.93
370,120,120,120,VN00120,120,TRX00370,693984702.86,0.0
371,121,121,121,VN00121,121,TRX00371,0.0,551110063.16
372,122,122,122,VN00122,122,TRX00372,0.0,478043837.91
373,123,123,123,VN00123,123,TRX00373,232686378.89,0.0
374,124,124,124,VN00124,124,TRX00374,0.0,91458084.23
375,125,125,125,VN00125,125,TRX00375,777769017.55,0.0
376,126,126,126,VN00126,126,TRX00376,200401314.96,0.0
377,127,127,127,VN00127,127,TRX00377,0.0,933382650.46
378,128,128,128,VN00128,128,TRX00378,464934854.72,0.0
379,129,129,129,VN00129,129,TRX00379,0.0,288106241.17
380,130,130,130,VN00130,130,TRX00380,237478219.99,0.0
381,131,131,131,VN00131,131,TRX00381,332580269.72,0.0
382,132,132,132,VN00132,132,TRX00382,0.0,87339673.17
383,133,133,133,VN00133,133,TRX00383,657815073.15,0.0
384,134,134,134,VN00134,134,TRX00384,0.0,232201395.52
385,135,135,135,VN00135,135,TRX00385,0.0,717464976.11
386,136,136,136,VN00136,136,TRX00386,204304117.85,0.0
387,137,137,137,VN00137,137,TRX00387,470688748.45,0.0
388,138,138,138,VN00138,138,TRX00388,0.0,513676966.34
389,139,139,139,VN00139,139,TRX00389,0.0,697028298.79
390,140,140,140,VN00140,140,TRX00390,0.0,539449319.51
391,141,141,141,VN00141,141,TRX00391,0.0,896872553.52
392,142,142,142,VN00142,142,TRX00392,346794720.21,0.0
393,143,143,143,VN00143,143,TRX00393,944365539.62,0.0
394,144,144,144,VN00144,144,TRX00394,491190480.97,0.0
395,145,145,145,VN00145,145,TRX00395,0.0,902000484.4
396,146,146,146,VN00146,146,TRX00396,360423719.45,0.0
397,147,147,147,VN00147,147,TRX00397,0.0,782397888.62
398,148,148,148,VN00148,148,TRX00398,0.0,977210832.7
399,149,149,149,VN00149,149,TRX00399,218035439.55,0.0
400,150,150,150,VN00150,150,TRX00400,845752507.3,0.0
401,151,151,151,VN00151,151,TRX00401,456270599.04,0.0
402,152,152,152,VN00152,152,TRX00402,0.0,877604829.77
403,153,153,153,VN00153,153,TRX00403,932891648.14,0.0
404,154,154,154,VN00154,154,TRX00404,0.0,649690040.36
405,155,155,155,VN00155,155,TRX00405,0.0,148133005.76
406,156,156,156,VN00156,156,TRX00406,0.0,689756305.72
407,157,157,157,VN00157,157,TRX00407,0.0,721669566.77
408,158,158,158,VN00158,158,TRX00408,483889039.03,0.0
409,159,159,159,VN00159,159,TRX00409,444221061.33,0.0
410,160,160,160,VN00160,160,TRX00410,0.0,438368832.2
411,161,161,161,VN00161,161,TRX00411,40683190.49,0.0
412,162,162,162,VN00162,162,TRX00412,332753617.06,0.0
413,163,163,163,VN00163,163,TRX00413,947119539.91,0.0
414,164,164,164,VN00164,164,TRX00414,617659977.11,0.0
415,165,165,165,VN00165,165,TRX00415,0.0,197629493.46
416,166,166,166,VN00166,166,TRX00416,0.0,302401028.51
417,167,167,167,VN00167,167,TRX00417,206131536.29,0.0
418,168,168,168,VN00168,168,TRX00418,0.0,502343601.89
419,169,169,169,VN00169,169,TRX00419,0.0,478655754.15
420,170,170,170,VN00170,170,TRX00420,863353351.54,0.0
421,171,171,171,VN00171,171,TRX00421,509401727.35,0.0
422,172,172,172,VN00172,172,TRX00422,296901516.06,0.0
423,173,173,173,VN00173,173,TRX00423,0.0,443624504.22
424,174,174,174,VN00174,174,TRX00424,0.0,207463722.56
425,175,175,175,VN00175,175,TRX00425,322973942.8,0.0
426,176,176,176,VN00176,176,TRX00426,972098245.23,0.0
427,177,177,177,VN00177,177,TRX00427,987351097.83,0.0
428,178,178,178,VN00178,178,TRX00428,408660133.75,0.0
429,179,179,179,VN00179,179,TRX00429,0.0,737197823.3
430,180,180,180,VN00180,180,TRX00430,0.0,718220326.05
431,181,181,181,VN00181,181,TRX00431,257348105.74,0.0
432,182,182,182,VN00182,182,TRX00432,82652676.0,0.0
433,183,183,183,VN00183,183,TRX00433,263610346.12,0.0
434,184,184,184,VN00184,184,TRX00434,271479853.51,0.0
435,185,185,185,VN00185,185,TRX00435,398639079.68,0.0
436,186,186,186,VN00186,186,TRX00436,184886031.03,0.0
437,187,187,187,VN00187,187,TRX00437,953818403.31,0.0
438,188,188,188,VN00188,188,TRX00438,102879885.38,0.0
439,189,189,189,VN00189,189,TRX00439,625208533.14,0.0
440,190,190,190,VN00190,190,TRX00440,441697388.05,0.0
441,191,191,191,VN00191,191,TRX00441,423518048.98,0.0
442,192,192,192,VN00192,192,TRX00442,0.0,77416332.53
443,193,193,193,VN00193,193,TRX00443,868314710.17,0.0
444,194,194,194,VN00194,194,TRX00444,0.0,761017727.38
445,195,195,195,VN00195,195,TRX00445,0.0,699095502.51
446,196,196,196,VN00196,196,TRX00446,918097015.96,0.0
